"Timestamp","How old are you?","Are you a native English speaker?","How would you rate your proficiency with computers?","On what device will you be partaking in this evaluation?","Have you used the iPlayer before?","Have you used My5 before?","Please tick all tasks that you managed to complete successfully","I think that I would like to use this system frequently","I found the system unnecessarily complex","I thought the system was easy to use","I think that I would need the support of a technical person to be able to use this system","I found the various functions in this system were well integrated","I thought the was too much inconsistency in this system","I would imagine that most people would learn to use this system very quickly","I found the system cumbersome to use","I felt very confident using the system","I needed to learn a lot of things before I could get going with this system","Please tick all tasks that you managed to complete successfully","I think that I would like to use this system frequently","I found the system unnecessarily complex","I thought the system was easy to use","I think that I would need the support of a technical person to be able to use this system","I found the various functions in this system were well integrated","I thought the was too much inconsistency in this system","I would imagine that most people would learn to use this system very quickly","I found the system cumbersome to use","I felt very confident using the system","I needed to learn a lot of things before I could get going with this system","Please tick all tasks that you managed to complete successfully","I think that I would like to use this system frequently","I found the system unnecessarily complex","I thought the system was easy to use","I think that I would need the support of a technical person to be able to use this system","I found the various functions in this system were well integrated","I thought the was too much inconsistency in this system","I would imagine that most people would learn to use this system very quickly","I found the system cumbersome to use","I felt very confident using the system","I needed to learn a lot of things before I could get going with this system","Please tick all tasks that you managed to complete successfully","I think that I would like to use this system frequently","I found the system unnecessarily complex","I thought the system was easy to use","I think that I would need the support of a technical person to be able to use this system","I found the various functions in this system were well integrated","I thought the was too much inconsistency in this system","I would imagine that most people would learn to use this system very quickly","I found the system cumbersome to use","I felt very confident using the system","I needed to learn a lot of things before I could get going with this system"
"2022/03/27 12:19:04 PM GMT+1","18","Yes","5","Mobile phone","Yes","No","Task 1;Task 2;Task 3;Task 4","4","2","4","1","3","2","3","2","4","1","Task 1;Task 2;Task 3;Task 4","3","4","2","1","3","2","3","4","4","1","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/28 10:18:09 AM GMT+1","17","Yes","5","MacBook Air","Yes","Yes","Task 1;Task 2;Task 3;Task 4","5","2","4","1","4","3","5","2","5","1","Task 1;Task 2;Task 3;Task 4","3","4","4","1","2","4","4","3","3","1","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/28 2:35:22 PM GMT+1","20","No","4","Laptop","Yes","Yes","Task 1;Task 3;Task 4","4","1","2","1","5","1","4","2","3","1","Task 1;Task 2;Task 3;Task 4","4","1","5","1","4","1","4","2","4","1","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/29 5:50:41 PM GMT+1","20","Yes","5","Phone","Yes","Yes","Task 1;Task 2;Task 3;Task 4","4","2","3","1","4","2","3","3","5","1","Task 1;Task 2;Task 3;Task 4","4","1","5","1","4","1","4","1","5","2","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/30 2:55:09 AM GMT+1","20","Yes","5","desktop PC","No","No","","","","","","","","","","","","","","","","","","","","","","","Task 1;Task 2;Task 3","1","3","3","1","2","4","2","4","3","1","Task 3","1","5","1","4","1","5","1","5","2","4"
"2022/04/11 9:58:26 AM GMT+1","50","Yes","3","Laptop","Yes","No","","","","","","","","","","","","","","","","","","","","","","","Task 1;Task 2;Task 3;Task 4","4","2","4","1","4","1","4","1","4","2","Task 1;Task 2;Task 3;Task 4","4","3","3","2","3","3","2","4","3","3"
"2022/04/12 4:26:01 PM GMT+1","22","Yes","5","laptop","Yes","Yes","Task 1;Task 2;Task 3;Task 4","5","1","5","1","4","1","4","1","4","1","Task 1;Task 2;Task 3;Task 4","5","1","5","1","5","2","4","2","4","2","","","","","","","","","","","","","","","","","","","","","",""
"2022/04/14 4:22:21 PM GMT+1","20","Yes","4","Phone","No","No","","","","","","","","","","","","","","","","","","","","","","","Task 1","2","1","4","2","","","","4","4","1","Task 1;Task 2;Task 3;Task 4","4","5","2","1","3","5","2","4","2","4"
"2022/04/15 7:51:50 PM GMT+1","21","Yes","4","IPhone 11","Yes","Yes","Task 1;Task 2;Task 4","3","2","4","2","4","3","4","3","4","1","Task 1;Task 3;Task 4","3","3","3","4","3","4","3","2","3","1","","","","","","","","","","","","","","","","","","","","","",""
"2022/04/15 7:53:54 PM GMT+1","18","Yes","4","Phone ","Yes","No","","","","","","","","","","","","","","","","","","","","","","","Task 1;Task 3;Task 4","4","2","4","2","3","4","5","2","4","2","Task 1;Task 2;Task 3","4","4","3","3","5","5","5","5","2","3"
"2022/04/15 8:17:37 PM GMT+1","19","Yes","1","Phone","Yes","No","","","","","","","","","","","","","","","","","","","","","","","Task 1;Task 2;Task 3;Task 4","3","2","5","1","4","2","4","2","5","1","Task 1;Task 2;Task 3;Task 4","5","1","5","1","5","1","5","1","5","2"
"2022/04/16 10:02:47 AM GMT+1","48","Yes","4","desktop PC","Yes","Yes","Task 1;Task 2;Task 3;Task 4","3","4","2","1","2","4","2","4","4","1","Task 1;Task 2;Task 3;Task 4","4","1","4","1","4","1","5","1","5","1","","","","","","","","","","","","","","","","","","","","","",""
"2022/04/20 2:52:36 AM GMT+1","21","No","4","Laptop","No","No","","","","","","","","","","","","","","","","","","","","","","","Task 1;Task 2;Task 3;Task 4","5","1","5","1","5","1","5","1","5","1","Task 1;Task 3;Task 4","3","3","3","1","4","2","3","3","4","2"